AthleteID,Date,Age,Gender,Height(cm),Weight(kg),Speed(m/s),Acceleration(m/s²),Force(N),StrideLength(m),StepFrequency(steps/s),Calories_Intake(kcal),Carbs(g),Protein(g),Fat(g)
A001,2025-01-01,25,F,170,60,5.2,2.1,450,1.4,1.8,2200,300,80,70
A002,2025-01-01,28,M,175,72,4.8,1.9,460,1.3,1.7,2500,350,100,90
A003,2025-01-01,24,F,160,55,5.5,2.3,440,1.5,1.9,2000,250,85,60
A004,2025-01-01,30,M,180,85,6.0,2.5,470,1.6,1.6,2800,400,120,100
A005,2025-01-01,23,F,165,58,5.0,2.0,420,1.4,1.7,2100,270,75,65
A001,2025-01-08,25,F,170,60,5.3,2.2,455,1.4,1.8,2250,310,85,72
A002,2025-01-08,28,M,175,72,4.9,1.8,465,1.3,1.7,2550,360,105,95
A003,2025-01-08,24,F,160,55,5.6,2.4,445,1.5,1.9,2050,260,90,62
A004,2025-01-08,30,M,180,85,6.1,2.6,475,1.6,1.6,2850,410,125,102
A005,2025-01-08,23,F,165,58,5.1,2.1,425,1.4,1.7,2150,280,78,68
A001,2025-01-15,25,F,170,60,5.4,2.3,460,1.5,1.8,2300,320,90,74
A002,2025-01-15,28,M,175,72,5.0,2.0,470,1.4,1.7,2600,370,110,98
A003,2025-01-15,24,F,160,55,5.7,2.5,450,1.5,1.9,2100,270,95,64
A004,2025-01-15,30,M,180,85,6.2,2.7,480,1.7,1.6,2900,420,130,105
A005,2025-01-15,23,F,165,58,5.2,2.2,430,1.4,1.7,2200,290,80,69
A001,2025-01-22,25,F,170,60,5.5,2.4,465,1.5,1.8,2350,330,95,76
A002,2025-01-22,28,M,175,72,5.1,2.1,475,1.4,1.7,2650,380,115,100
A003,2025-01-22,24,F,160,55,5.8,2.6,455,1.5,1.9,2150,280,100,66
A004,2025-01-22,30,M,180,85,6.3,2.8,490,1.7,1.6,2950,430,135,108
A005,2025-01-22,23,F,165,58,5.3,2.3,435,1.4,1.7,2250,300,82,71
A001,2025-01-29,25,F,170,60,5.6,2.5,470,1.5,1.8,2400,340,100,78
A002,2025-01-29,28,M,175,72,5.2,2.2,480,1.4,1.7,2700,390,120,103
A003,2025-01-29,24,F,160,55,5.9,2.7,460,1.5,1.9,2200,290,105,68
A004,2025-01-29,30,M,180,85,6.4,2.9,500,1.7,1.6,3000,440,140,110
A005,2025-01-29,23,F,165,58,5.4,2.4,440,1.4,1.7,2300,310,85,73
A001,2025-02-05,25,F,170,60,5.7,2.6,475,1.5,1.8,2450,350,105,80
A002,2025-02-05,28,M,175,72,5.3,2.3,485,1.4,1.7,2750,400,125,105
A003,2025-02-05,24,F,160,55,6.0,2.8,465,1.5,1.9,2250,300,110,70
A004,2025-02-05,30,M,180,85,6.5,3.0,510,1.7,1.6,3050,450,145,112
A005,2025-02-05,23,F,165,58,5.5,2.5,445,1.4,1.7,2350,320,90,74
